timestamp,machine_id,rpm,vibration_mms,temperature_c,pressure_bar,output_units_per_hr,power_kw,anomaly
2024-03-01 00:00:00,MCH2_001,1539.5,2.084,70.14,6.039,296.4,53.4,0
2024-03-01 01:00:00,MCH2_001,1540.2,3.054,74.66,5.8,307.7,60.55,0
2024-03-01 02:00:00,MCH2_001,1582.6,2.563,88.79,5.361,326.4,50.09,1
2024-03-01 03:00:00,MCH2_001,1491.1,2.664,69.16,5.837,297.8,44.87,0
2024-03-01 04:00:00,MCH2_001,1465.5,2.346,74.69,6.656,289.3,48.26,0
2024-03-01 05:00:00,MCH2_001,1486.2,2.539,70.1,5.679,310.9,56.76,0
2024-03-01 06:00:00,MCH2_001,1549.9,2.152,78.33,6.107,277.3,51.62,0
2024-03-01 07:00:00,MCH2_001,1508.6,2.07,72.8,5.803,306.2,56.39,0
2024-03-01 08:00:00,MCH2_001,1512.6,3.064,69.02,5.777,306.3,53.14,0
2024-03-01 09:00:00,MCH2_001,1530.8,3.351,70.85,5.709,333.5,55.03,0
2024-03-01 10:00:00,MCH2_002,1526.5,3.033,62.75,5.912,287.7,64.56,0
2024-03-01 11:00:00,MCH2_002,1460.2,2.339,62.21,6.405,321.8,53.07,0
2024-03-01 12:00:00,MCH2_002,1470.7,2.555,79.87,6.17,284.7,65.72,0
2024-03-01 13:00:00,MCH2_002,1469.2,2.424,76.53,5.332,305.4,60.75,0
2024-03-01 14:00:00,MCH2_002,1533.7,2.754,69.98,5.669,306.6,57.41,0
2024-03-01 15:00:00,MCH2_002,1541.2,1.951,81.9,6.837,328.9,54.14,0
2024-03-01 16:00:00,MCH2_002,1485.9,3.653,65.3,6.138,296.3,57.64,0
2024-03-01 17:00:00,MCH2_002,1498.4,1.954,70.54,6.181,270.6,59.22,0
2024-03-01 18:00:00,MCH2_002,1445.2,3.22,83.43,5.893,331.0,55.95,0
2024-03-01 19:00:00,MCH2_002,1486.6,2.964,71.14,6.637,288.3,60.7,0
2024-03-01 20:00:00,MCH2_003,1401.5,2.482,77.92,6.186,289.6,60.08,0
