timestamp,server_id,cpu_pct,memory_pct,disk_io_mbps,network_latency_ms,error_rate_pct,requests_per_sec,anomaly
2024-02-01 00:00:00,SRV2_001,53.49,74.88,159.06,29.35,0.616,644.1,0
2024-02-01 01:00:00,SRV2_001,29.75,47.55,133.12,34.14,0.445,465.2,0
2024-02-01 02:00:00,SRV2_001,44.72,63.45,87.25,49.32,0.854,564.2,0
2024-02-01 03:00:00,SRV2_001,30.66,63.43,143.26,43.57,0.718,611.2,0
2024-02-01 04:00:00,SRV2_001,39.72,60.15,136.78,26.5,0.745,498.5,0
2024-02-01 05:00:00,SRV2_001,40.29,62.44,116.11,41.04,0.017,411.8,0
2024-02-01 06:00:00,SRV2_001,43.61,60.3,131.84,40.25,0.34,414.4,0
2024-02-01 07:00:00,SRV2_001,44.33,53.87,125.75,36.57,0.391,538.1,0
2024-02-01 08:00:00,SRV2_002,69.27,52.22,92.91,27.31,0.72,512.9,0
2024-02-01 09:00:00,SRV2_002,37.4,64.73,145.1,32.96,0.296,477.4,0
2024-02-01 10:00:00,SRV2_002,48.83,94.49,109.91,43.97,0.594,523.3,1
2024-02-01 11:00:00,SRV2_002,53.01,58.92,106.42,41.52,0.692,473.1,0
2024-02-01 12:00:00,SRV2_002,34.36,59.09,136.64,46.25,0.233,508.0,0
2024-02-01 13:00:00,SRV2_002,37.96,53.48,122.51,37.49,0.638,561.8,0
2024-02-01 14:00:00,SRV2_002,60.84,71.32,98.42,35.28,0.884,494.6,0
2024-02-01 15:00:00,SRV2_002,43.93,55.55,112.09,39.38,0.379,611.3,0
2024-02-01 16:00:00,SRV2_003,31.4,55.43,136.51,62.43,1.012,502.7,0
2024-02-01 17:00:00,SRV2_003,45.28,69.39,134.81,38.99,0.319,665.4,0
2024-02-01 18:00:00,SRV2_003,49.27,58.37,117.84,36.73,0.044,523.3,0
2024-02-01 19:00:00,SRV2_003,43.23,71.63,117.13,37.1,0.263,454.2,0
2024-02-01 20:00:00,SRV2_003,59.89,52.11,147.44,46.59,0.578,453.6,0
2024-02-01 21:00:00,SRV2_003,73.63,56.83,132.83,38.37,0.532,602.8,1
2024-02-01 22:00:00,SRV2_003,46.51,53.56,120.47,23.35,0.753,547.9,0
2024-02-01 23:00:00,SRV2_003,39.4,71.3,140.09,43.7,0.677,437.4,0
2024-02-02 00:00:00,SRV2_004,32.27,61.52,90.23,41.25,0.655,423.2,0
2024-02-02 01:00:00,SRV2_004,53.85,61.84,106.12,36.3,0.432,467.9,0
2024-02-02 02:00:00,SRV2_004,36.81,58.98,79.72,41.69,0.332,504.8,0
2024-02-02 03:00:00,SRV2_004,51.62,51.83,118.24,37.4,0.581,508.4,0
2024-02-02 04:00:00,SRV2_004,57.19,66.58,106.1,32.45,0.496,524.8,0
2024-02-02 05:00:00,SRV2_004,41.68,55.72,128.26,42.28,1.032,561.4,0
2024-02-02 06:00:00,SRV2_004,30.7,63.32,108.82,30.59,1.094,474.8,0
2024-02-02 07:00:00,SRV2_004,44.75,49.11,126.56,32.26,0.468,498.6,0
2024-02-02 08:00:00,SRV2_005,29.82,61.76,155.28,19.74,0.222,458.6,0
